Region,Country,Age,Arrivals,Year
North-East Asia,Taiwan,Total,545560,2015
North-East Asia,Taiwan,Under 25,62935,2015
North-East Asia,Taiwan,25 - 34,141516,2015
North-East Asia,Taiwan,35 - 44,151109,2015
North-East Asia,Taiwan,45 - 54,106190,2015
North-East Asia,Taiwan,55 - 64,63602,2015
North-East Asia,Taiwan,65 and Over,20208,2015
North-East Asia,Taiwan,Total,513528,2016
North-East Asia,Taiwan,Under 25,97634,2016
North-East Asia,Taiwan,25 - 34,144004,2016
North-East Asia,Taiwan,35 - 44,116868,2016
North-East Asia,Taiwan,45 - 54,81275,2016
North-East Asia,Taiwan,55 - 64,50941,2016
North-East Asia,Taiwan,65 and Over,22806,2016
North-East Asia,Taiwan,Total,560441,2017
North-East Asia,Taiwan,Under 25,99524,2017
North-East Asia,Taiwan,25 - 34,145577,2017
North-East Asia,Taiwan,35 - 44,133618,2017
North-East Asia,Taiwan,45 - 54,92847,2017
North-East Asia,Taiwan,55 - 64,60891,2017
North-East Asia,Taiwan,65 and Over,27984,2017
North-East Asia,Taiwan,Total,674172,2018
North-East Asia,Taiwan,Under 25,118268,2018
North-East Asia,Taiwan,25 - 34,174988,2018
North-East Asia,Taiwan,35 - 44,158557,2018
North-East Asia,Taiwan,45 - 54,110478,2018
North-East Asia,Taiwan,55 - 64,73513,2018
North-East Asia,Taiwan,65 and Over,38368,2018
North-East Asia,Taiwan,Total,781674,2019
North-East Asia,Taiwan,Under 25,137848,2019
North-East Asia,Taiwan,25 - 34,194960,2019
North-East Asia,Taiwan,35 - 44,178965,2019
North-East Asia,Taiwan,45 - 54,128729,2019
North-East Asia,Taiwan,55 - 64,92202,2019
North-East Asia,Taiwan,65 and Over,48970,2019
North-East Asia,Taiwan,Total,114275,2020
North-East Asia,Taiwan,Under 25,26648,2020
North-East Asia,Taiwan,25 - 34,20889,2020
North-East Asia,Taiwan,35 - 44,23921,2020
North-East Asia,Taiwan,45 - 54,19416,2020
North-East Asia,Taiwan,55 - 64,14323,2020
North-East Asia,Taiwan,65 and Over,9078,2020
Asia,Others in East Asia,Total,71666,2015
Asia,Others in East Asia,Under 25,13013,2015
Asia,Others in East Asia,25 - 34,17861,2015
Asia,Others in East Asia,35 - 44,17442,2015
Asia,Others in East Asia,45 - 54,14414,2015
Asia,Others in East Asia,55 - 64,7148,2015
Asia,Others in East Asia,65 and Over,1788,2015
Asia,Others in East Asia,Total,72401,2016
Asia,Others in East Asia,Under 25,17429,2016
Asia,Others in East Asia,25 - 34,25093,2016
Asia,Others in East Asia,35 - 44,12927,2016
Asia,Others in East Asia,45 - 54,8619,2016
Asia,Others in East Asia,55 - 64,6035,2016
Asia,Others in East Asia,65 and Over,2298,2016
Asia,Others in East Asia,Total,91918,2017
Asia,Others in East Asia,Under 25,19801,2017
Asia,Others in East Asia,25 - 34,27456,2017
Asia,Others in East Asia,35 - 44,17047,2017
Asia,Others in East Asia,45 - 54,13285,2017
Asia,Others in East Asia,55 - 64,9896,2017
Asia,Others in East Asia,65 and Over,4433,2017
Asia,Others in East Asia,Total,101921,2018
Asia,Others in East Asia,Under 25,21234,2018
Asia,Others in East Asia,25 - 34,29182,2018
Asia,Others in East Asia,35 - 44,20329,2018
Asia,Others in East Asia,45 - 54,15792,2018
Asia,Others in East Asia,55 - 64,10420,2018
Asia,Others in East Asia,65 and Over,4964,2018
Asia,Others in East Asia,Total,114938,2019
Asia,Others in East Asia,Under 25,24695,2019
Asia,Others in East Asia,25 - 34,33377,2019
Asia,Others in East Asia,35 - 44,22299,2019
Asia,Others in East Asia,45 - 54,16867,2019
Asia,Others in East Asia,55 - 64,11961,2019
Asia,Others in East Asia,65 and Over,5739,2019
Asia,Others in East Asia,Total,15299,2020
Asia,Others in East Asia,Under 25,3444,2020
Asia,Others in East Asia,25 - 34,4058,2020
Asia,Others in East Asia,35 - 44,3361,2020
Asia,Others in East Asia,45 - 54,2091,2020
Asia,Others in East Asia,55 - 64,1456,2020
Asia,Others in East Asia,65 and Over,889,2020
Western Europe,Austria,Total,94878,2015
Western Europe,Austria,Under 25,11383,2015
Western Europe,Austria,25 - 34,24551,2015
Western Europe,Austria,35 - 44,18605,2015
Western Europe,Austria,45 - 54,21675,2015
Western Europe,Austria,55 - 64,13010,2015
Western Europe,Austria,65 and Over,5654,2015
Western Europe,Austria,Total,97989,2016
Western Europe,Austria,Under 25,17980,2016
Western Europe,Austria,25 - 34,29068,2016
Western Europe,Austria,35 - 44,14171,2016
Western Europe,Austria,45 - 54,17249,2016
Western Europe,Austria,55 - 64,12475,2016
Western Europe,Austria,65 and Over,7046,2016
Western Europe,Austria,Total,104220,2017
Western Europe,Austria,Under 25,16922,2017
Western Europe,Austria,25 - 34,28732,2017
Western Europe,Austria,35 - 44,15457,2017
Western Europe,Austria,45 - 54,19683,2017
Western Europe,Austria,55 - 64,15249,2017
Western Europe,Austria,65 and Over,8177,2017
Western Europe,Austria,Total,114768,2018
Western Europe,Austria,Under 25,17788,2018
Western Europe,Austria,25 - 34,29427,2018
Western Europe,Austria,35 - 44,16638,2018
Western Europe,Austria,45 - 54,21729,2018
Western Europe,Austria,55 - 64,18292,2018
Western Europe,Austria,65 and Over,10894,2018
Western Europe,Austria,Total,110690,2019
Western Europe,Austria,Under 25,17281,2019
Western Europe,Austria,25 - 34,27862,2019
Western Europe,Austria,35 - 44,16293,2019
Western Europe,Austria,45 - 54,20634,2019
Western Europe,Austria,55 - 64,18798,2019
Western Europe,Austria,65 and Over,9822,2019
Western Europe,Austria,Total,34599,2020
Western Europe,Austria,Under 25,3783,2020
Western Europe,Austria,25 - 34,7730,2020
Western Europe,Austria,35 - 44,4841,2020
Western Europe,Austria,45 - 54,6538,2020
Western Europe,Austria,55 - 64,7367,2020
Western Europe,Austria,65 and Over,4340,2020
Western Europe,Belgium,Total,107695,2015
Western Europe,Belgium,Under 25,16133,2015
Western Europe,Belgium,25 - 34,23373,2015
Western Europe,Belgium,35 - 44,20206,2015
Western Europe,Belgium,45 - 54,24555,2015
Western Europe,Belgium,55 - 64,17127,2015
Western Europe,Belgium,65 and Over,6301,2015
Western Europe,Belgium,Total,112140,2016
Western Europe,Belgium,Under 25,22360,2016
Western Europe,Belgium,25 - 34,28987,2016
Western Europe,Belgium,35 - 44,16761,2016
Western Europe,Belgium,45 - 54,19519,2016
Western Europe,Belgium,55 - 64,16001,2016
Western Europe,Belgium,65 and Over,8512,2016
Western Europe,Belgium,Total,112635,2017
Western Europe,Belgium,Under 25,19293,2017
Western Europe,Belgium,25 - 34,28827,2017
Western Europe,Belgium,35 - 44,17274,2017
Western Europe,Belgium,45 - 54,21122,2017
Western Europe,Belgium,55 - 64,17091,2017
Western Europe,Belgium,65 and Over,9028,2017
Western Europe,Belgium,Total,116346,2018
Western Europe,Belgium,Under 25,19562,2018
Western Europe,Belgium,25 - 34,28804,2018
Western Europe,Belgium,35 - 44,17863,2018
Western Europe,Belgium,45 - 54,22154,2018
Western Europe,Belgium,55 - 64,18019,2018
Western Europe,Belgium,65 and Over,9944,2018
Western Europe,Belgium,Total,114016,2019
Western Europe,Belgium,Under 25,20860,2019
Western Europe,Belgium,25 - 34,27512,2019
Western Europe,Belgium,35 - 44,18341,2019
Western Europe,Belgium,45 - 54,20540,2019
Western Europe,Belgium,55 - 64,17299,2019
Western Europe,Belgium,65 and Over,9464,2019
Western Europe,Belgium,Total,25872,2020
Western Europe,Belgium,Under 25,2517,2020
Western Europe,Belgium,25 - 34,6041,2020
Western Europe,Belgium,35 - 44,3775,2020
Western Europe,Belgium,45 - 54,4870,2020
Western Europe,Belgium,55 - 64,5015,2020
Western Europe,Belgium,65 and Over,3654,2020
Western Europe,Denmark,Total,159420,2015
Western Europe,Denmark,Under 25,31712,2015
Western Europe,Denmark,25 - 34,27584,2015
Western Europe,Denmark,35 - 44,28220,2015
Western Europe,Denmark,45 - 54,31639,2015
Western Europe,Denmark,55 - 64,25200,2015
Western Europe,Denmark,65 and Over,15065,2015
Western Europe,Denmark,Total,163406,2016
Western Europe,Denmark,Under 25,44862,2016
Western Europe,Denmark,25 - 34,36433,2016
Western Europe,Denmark,35 - 44,23149,2016
Western Europe,Denmark,45 - 54,23445,2016
Western Europe,Denmark,55 - 64,18199,2016
Western Europe,Denmark,65 and Over,17318,2016
Western Europe,Denmark,Total,157923,2017
Western Europe,Denmark,Under 25,44015,2017
Western Europe,Denmark,25 - 34,29188,2017
Western Europe,Denmark,35 - 44,21988,2017
Western Europe,Denmark,45 - 54,24662,2017
Western Europe,Denmark,55 - 64,19963,2017
Western Europe,Denmark,65 and Over,18107,2017
Western Europe,Denmark,Total,170044,2018
Western Europe,Denmark,Under 25,47295,2018
Western Europe,Denmark,25 - 34,24469,2018
Western Europe,Denmark,35 - 44,21501,2018
Western Europe,Denmark,45 - 54,29145,2018
Western Europe,Denmark,55 - 64,25478,2018
Western Europe,Denmark,65 and Over,22156,2018
Western Europe,Denmark,Total,159526,2019
Western Europe,Denmark,Under 25,44115,2019
Western Europe,Denmark,25 - 34,23342,2019
Western Europe,Denmark,35 - 44,19214,2019
Western Europe,Denmark,45 - 54,26652,2019
Western Europe,Denmark,55 - 64,24454,2019
Western Europe,Denmark,65 and Over,21749,2019
Western Europe,Denmark,Total,62962,2020
Western Europe,Denmark,Under 25,16542,2020
Western Europe,Denmark,25 - 34,8545,2020
Western Europe,Denmark,35 - 44,7326,2020
Western Europe,Denmark,45 - 54,8948,2020
Western Europe,Denmark,55 - 64,11122,2020
Western Europe,Denmark,65 and Over,10479,2020
Nothern Europe,Finland,Total,135107,2015
Nothern Europe,Finland,Under 25,21447,2015
Nothern Europe,Finland,25 - 34,32649,2015
Nothern Europe,Finland,35 - 44,26869,2015
Nothern Europe,Finland,45 - 54,26283,2015
Nothern Europe,Finland,55 - 64,18387,2015
Nothern Europe,Finland,65 and Over,9472,2015
Nothern Europe,Finland,Total,131207,2016
Nothern Europe,Finland,Under 25,25095,2016
Nothern Europe,Finland,25 - 34,43471,2016
Nothern Europe,Finland,35 - 44,21858,2016
Nothern Europe,Finland,45 - 54,18659,2016
Nothern Europe,Finland,55 - 64,13255,2016
Nothern Europe,Finland,65 and Over,8869,2016
Nothern Europe,Finland,Total,138926,2017
Nothern Europe,Finland,Under 25,29158,2017
Nothern Europe,Finland,25 - 34,31385,2017
Nothern Europe,Finland,35 - 44,25228,2017
Nothern Europe,Finland,45 - 54,23087,2017
Nothern Europe,Finland,55 - 64,18204,2017
Nothern Europe,Finland,65 and Over,11864,2017
Nothern Europe,Finland,Total,135384,2018
Nothern Europe,Finland,Under 25,28255,2018
Nothern Europe,Finland,25 - 34,30627,2018
Nothern Europe,Finland,35 - 44,23356,2018
Nothern Europe,Finland,45 - 54,22932,2018
Nothern Europe,Finland,55 - 64,18470,2018
Nothern Europe,Finland,65 and Over,11744,2018
Nothern Europe,Finland,Total,125490,2019
Nothern Europe,Finland,Under 25,25838,2019
Nothern Europe,Finland,25 - 34,26476,2019
Nothern Europe,Finland,35 - 44,22314,2019
Nothern Europe,Finland,45 - 54,20900,2019
Nothern Europe,Finland,55 - 64,17757,2019
Nothern Europe,Finland,65 and Over,12205,2019
Nothern Europe,Finland,Total,57927,2020
Nothern Europe,Finland,Under 25,11012,2020
Nothern Europe,Finland,25 - 34,11481,2020
Nothern Europe,Finland,35 - 44,9594,2020
Nothern Europe,Finland,45 - 54,9788,2020
Nothern Europe,Finland,55 - 64,9723,2020
Nothern Europe,Finland,65 and Over,6329,2020
Western Europe,France,Total,648382,2015
Western Europe,France,Under 25,97328,2015
Western Europe,France,25 - 34,198029,2015
Western Europe,France,35 - 44,128412,2015
Western Europe,France,45 - 54,107730,2015
Western Europe,France,55 - 64,75367,2015
Western Europe,France,65 and Over,41516,2015
Western Europe,France,Total,697738,2016
Western Europe,France,Under 25,134875,2016
Western Europe,France,25 - 34,206420,2016
Western Europe,France,35 - 44,106726,2016
Western Europe,France,45 - 54,104279,2016
Western Europe,France,55 - 64,89033,2016
Western Europe,France,65 and Over,56405,2016
Western Europe,France,Total,693426,2017
Western Europe,France,Under 25,132902,2017
Western Europe,France,25 - 34,169077,2017
Western Europe,France,35 - 44,109040,2017
Western Europe,France,45 - 54,116532,2017
Western Europe,France,55 - 64,98802,2017
Western Europe,France,65 and Over,67073,2017
Western Europe,France,Total,724350,2018
Western Europe,France,Under 25,129147,2018
Western Europe,France,25 - 34,174903,2018
Western Europe,France,35 - 44,116135,2018
Western Europe,France,45 - 54,123860,2018
Western Europe,France,55 - 64,109123,2018
Western Europe,France,65 and Over,71182,2018
Western Europe,France,Total,713405,2019
Western Europe,France,Under 25,141291,2019
Western Europe,France,25 - 34,166971,2019
Western Europe,France,35 - 44,115016,2019
Western Europe,France,45 - 54,120481,2019
Western Europe,France,55 - 64,101220,2019
Western Europe,France,65 and Over,68426,2019
Western Europe,France,Total,231614,2020
Western Europe,France,Under 25,42896,2020
Western Europe,France,25 - 34,48552,2020
Western Europe,France,35 - 44,37905,2020
Western Europe,France,45 - 54,39504,2020
Western Europe,France,55 - 64,34133,2020
Western Europe,France,65 and Over,28624,2020
Europe,Ireland,Total,0,2015
Europe,Ireland,Under 25,0,2015
Europe,Ireland,25 - 34,0,2015
Europe,Ireland,35 - 44,0,2015
Europe,Ireland,45 - 54,0,2015
Europe,Ireland,55 - 64,0,2015
Europe,Ireland,65 and Over,0,2015
Europe,Ireland,Total,59557,2016
Europe,Ireland,Under 25,15786,2016
Europe,Ireland,25 - 34,22524,2016
Europe,Ireland,35 - 44,9015,2016
Europe,Ireland,45 - 54,5284,2016
Europe,Ireland,55 - 64,4618,2016
Europe,Ireland,65 and Over,2330,2016
Europe,Ireland,Total,59500,2017
Europe,Ireland,Under 25,13067,2017
Europe,Ireland,25 - 34,22620,2017
Europe,Ireland,35 - 44,9548,2017
Europe,Ireland,45 - 54,6297,2017
Europe,Ireland,55 - 64,5043,2017
Europe,Ireland,65 and Over,2925,2017
Europe,Ireland,Total,58677,2018
Europe,Ireland,Under 25,11415,2018
Europe,Ireland,25 - 34,20569,2018
Europe,Ireland,35 - 44,9707,2018
Europe,Ireland,45 - 54,7228,2018
Europe,Ireland,55 - 64,5957,2018
Europe,Ireland,65 and Over,3801,2018
Europe,Ireland,Total,54344,2019
Europe,Ireland,Under 25,10976,2019
Europe,Ireland,25 - 34,17390,2019
Europe,Ireland,35 - 44,8893,2019
Europe,Ireland,45 - 54,7428,2019
Europe,Ireland,55 - 64,5834,2019
Europe,Ireland,65 and Over,3823,2019
Europe,Ireland,Total,9714,2020
Europe,Ireland,Under 25,1016,2020
Europe,Ireland,25 - 34,3173,2020
Europe,Ireland,35 - 44,1784,2020
Europe,Ireland,45 - 54,1335,2020
Europe,Ireland,55 - 64,1346,2020
Europe,Ireland,65 and Over,1060,2020
Western Europe,Germany,Total,746135,2015
Western Europe,Germany,Under 25,95690,2015
Western Europe,Germany,25 - 34,207978,2015
Western Europe,Germany,35 - 44,137933,2015
Western Europe,Germany,45 - 54,152464,2015
Western Europe,Germany,55 - 64,100249,2015
Western Europe,Germany,65 and Over,51821,2015
Western Europe,Germany,Total,825496,2016
Western Europe,Germany,Under 25,142941,2016
Western Europe,Germany,25 - 34,237845,2016
Western Europe,Germany,35 - 44,114707,2016
Western Europe,Germany,45 - 54,153814,2016
Western Europe,Germany,55 - 64,111877,2016
Western Europe,Germany,65 and Over,64312,2016
Western Europe,Germany,Total,837318,2017
Western Europe,Germany,Under 25,141008,2017
Western Europe,Germany,25 - 34,223261,2017
Western Europe,Germany,35 - 44,118285,2017
Western Europe,Germany,45 - 54,156656,2017
Western Europe,Germany,55 - 64,126296,2017
Western Europe,Germany,65 and Over,71812,2017
Western Europe,Germany,Total,872185,2018
Western Europe,Germany,Under 25,141254,2018
Western Europe,Germany,25 - 34,222933,2018
Western Europe,Germany,35 - 44,123431,2018
Western Europe,Germany,45 - 54,162242,2018
Western Europe,Germany,55 - 64,144350,2018
Western Europe,Germany,65 and Over,77975,2018
Western Europe,Germany,Total,836926,2019
Western Europe,Germany,Under 25,136490,2019
Western Europe,Germany,25 - 34,199906,2019
Western Europe,Germany,35 - 44,126061,2019
Western Europe,Germany,45 - 54,152997,2019
Western Europe,Germany,55 - 64,141299,2019
Western Europe,Germany,65 and Over,80173,2019
Western Europe,Germany,Total,231260,2020
Western Europe,Germany,Under 25,27607,2020
Western Europe,Germany,25 - 34,53209,2020
Western Europe,Germany,35 - 44,34519,2020
Western Europe,Germany,45 - 54,38176,2020
Western Europe,Germany,55 - 64,47423,2020
Western Europe,Germany,65 and Over,30326,2020
Southern/Medit. Europe,Italy,Total,231429,2015
Southern/Medit. Europe,Italy,Under 25,26784,2015
Southern/Medit. Europe,Italy,25 - 34,62478,2015
Southern/Medit. Europe,Italy,35 - 44,56628,2015
Southern/Medit. Europe,Italy,45 - 54,46134,2015
Southern/Medit. Europe,Italy,55 - 64,26308,2015
Southern/Medit. Europe,Italy,65 and Over,13097,2015
Southern/Medit. Europe,Italy,Total,248903,2016
Southern/Medit. Europe,Italy,Under 25,34872,2016
Southern/Medit. Europe,Italy,25 - 34,78095,2016
Southern/Medit. Europe,Italy,35 - 44,49684,2016
Southern/Medit. Europe,Italy,45 - 54,39739,2016
Southern/Medit. Europe,Italy,55 - 64,28937,2016
Southern/Medit. Europe,Italy,65 and Over,17576,2016
Southern/Medit. Europe,Italy,Total,244982,2017
Southern/Medit. Europe,Italy,Under 25,29171,2017
Southern/Medit. Europe,Italy,25 - 34,75096,2017
Southern/Medit. Europe,Italy,35 - 44,51257,2017
Southern/Medit. Europe,Italy,45 - 54,43098,2017
Southern/Medit. Europe,Italy,55 - 64,28453,2017
Southern/Medit. Europe,Italy,65 and Over,17907,2017
Southern/Medit. Europe,Italy,Total,263515,2018
Southern/Medit. Europe,Italy,Under 25,30669,2018
Southern/Medit. Europe,Italy,25 - 34,78837,2018
Southern/Medit. Europe,Italy,35 - 44,54989,2018
Southern/Medit. Europe,Italy,45 - 54,48110,2018
Southern/Medit. Europe,Italy,55 - 64,32194,2018
Southern/Medit. Europe,Italy,65 and Over,18716,2018
Southern/Medit. Europe,Italy,Total,250870,2019
Southern/Medit. Europe,Italy,Under 25,30891,2019
Southern/Medit. Europe,Italy,25 - 34,73894,2019
Southern/Medit. Europe,Italy,35 - 44,51696,2019
Southern/Medit. Europe,Italy,45 - 54,45040,2019
Southern/Medit. Europe,Italy,55 - 64,30155,2019
Southern/Medit. Europe,Italy,65 and Over,19194,2019
Southern/Medit. Europe,Italy,Total,58327,2020
Southern/Medit. Europe,Italy,Under 25,6020,2020
Southern/Medit. Europe,Italy,25 - 34,13502,2020
Southern/Medit. Europe,Italy,35 - 44,10915,2020
Southern/Medit. Europe,Italy,45 - 54,11299,2020
Southern/Medit. Europe,Italy,55 - 64,9169,2020
Southern/Medit. Europe,Italy,65 and Over,7422,2020
Western Europe,Netherlands,Total,214945,2015
Western Europe,Netherlands,Under 25,34141,2015
Western Europe,Netherlands,25 - 34,51434,2015
Western Europe,Netherlands,35 - 44,34604,2015
Western Europe,Netherlands,45 - 54,46362,2015
Western Europe,Netherlands,55 - 64,33330,2015
Western Europe,Netherlands,65 and Over,15074,2015
Western Europe,Netherlands,Total,228443,2016
Western Europe,Netherlands,Under 25,56722,2016
Western Europe,Netherlands,25 - 34,58088,2016
Western Europe,Netherlands,35 - 44,28220,2016
Western Europe,Netherlands,45 - 54,36899,2016
Western Europe,Netherlands,55 - 64,29853,2016
Western Europe,Netherlands,65 and Over,18661,2016
Western Europe,Netherlands,Total,215433,2017
Western Europe,Netherlands,Under 25,47739,2017
Western Europe,Netherlands,25 - 34,53675,2017
Western Europe,Netherlands,35 - 44,27506,2017
Western Europe,Netherlands,45 - 54,36797,2017
Western Europe,Netherlands,55 - 64,31176,2017
Western Europe,Netherlands,65 and Over,18540,2017
Western Europe,Netherlands,Total,226618,2018
Western Europe,Netherlands,Under 25,48941,2018
Western Europe,Netherlands,25 - 34,54112,2018
Western Europe,Netherlands,35 - 44,28383,2018
Western Europe,Netherlands,45 - 54,39476,2018
Western Europe,Netherlands,55 - 64,34599,2018
Western Europe,Netherlands,65 and Over,21107,2018
Western Europe,Netherlands,Total,230006,2019
Western Europe,Netherlands,Under 25,53796,2019
Western Europe,Netherlands,25 - 34,53746,2019
Western Europe,Netherlands,35 - 44,29704,2019
Western Europe,Netherlands,45 - 54,38965,2019
Western Europe,Netherlands,55 - 64,33102,2019
Western Europe,Netherlands,65 and Over,20693,2019
Western Europe,Netherlands,Total,50441,2020
Western Europe,Netherlands,Under 25,6394,2020
Western Europe,Netherlands,25 - 34,11363,2020
Western Europe,Netherlands,35 - 44,6433,2020
Western Europe,Netherlands,45 - 54,7383,2020
Western Europe,Netherlands,55 - 64,10052,2020
Western Europe,Netherlands,65 and Over,8816,2020
Northern Europe,Norway,Total,138024,2015
Northern Europe,Norway,Under 25,26303,2015
Northern Europe,Norway,25 - 34,25605,2015
Northern Europe,Norway,35 - 44,23617,2015
Northern Europe,Norway,45 - 54,28128,2015
Northern Europe,Norway,55 - 64,21746,2015
Northern Europe,Norway,65 and Over,12625,2015
Northern Europe,Norway,Total,134335,2016
Northern Europe,Norway,Under 25,32647,2016
Northern Europe,Norway,25 - 34,27440,2016
Northern Europe,Norway,35 - 44,17661,2016
Northern Europe,Norway,45 - 54,22817,2016
Northern Europe,Norway,55 - 64,18684,2016
Northern Europe,Norway,65 and Over,15086,2016
Northern Europe,Norway,Total,130200,2017
Northern Europe,Norway,Under 25,31819,2017
Northern Europe,Norway,25 - 34,23752,2017
Northern Europe,Norway,35 - 44,17398,2017
Northern Europe,Norway,45 - 54,23513,2017
Northern Europe,Norway,55 - 64,18487,2017
Northern Europe,Norway,65 and Over,15231,2017
Northern Europe,Norway,Total,133020,2018
Northern Europe,Norway,Under 25,28835,2018
Northern Europe,Norway,25 - 34,22276,2018
Northern Europe,Norway,35 - 44,17348,2018
Northern Europe,Norway,45 - 54,24170,2018
Northern Europe,Norway,55 - 64,21892,2018
Northern Europe,Norway,65 and Over,18499,2018
Northern Europe,Norway,Total,130509,2019
Northern Europe,Norway,Under 25,29742,2019
Northern Europe,Norway,25 - 34,20890,2019
Northern Europe,Norway,35 - 44,17350,2019
Northern Europe,Norway,45 - 54,23291,2019
Northern Europe,Norway,55 - 64,21276,2019
Northern Europe,Norway,65 and Over,17960,2019
Northern Europe,Norway,Total,39082,2020
Northern Europe,Norway,Under 25,7347,2020
Northern Europe,Norway,25 - 34,6127,2020
Northern Europe,Norway,35 - 44,4552,2020
Northern Europe,Norway,45 - 54,6020,2020
Northern Europe,Norway,55 - 64,6849,2020
Northern Europe,Norway,65 and Over,8187,2020
Central/Eastern Europe,Russian,Total,877120,2015
Central/Eastern Europe,Russian,Under 25,129685,2015
Central/Eastern Europe,Russian,25 - 34,267261,2015
Central/Eastern Europe,Russian,35 - 44,204168,2015
Central/Eastern Europe,Russian,45 - 54,166328,2015
Central/Eastern Europe,Russian,55 - 64,90519,2015
Central/Eastern Europe,Russian,65 and Over,19159,2015
Central/Eastern Europe,Russian,Total,1085890,2016
Central/Eastern Europe,Russian,Under 25,176247,2016
Central/Eastern Europe,Russian,25 - 34,464199,2016
Central/Eastern Europe,Russian,35 - 44,204290,2016
Central/Eastern Europe,Russian,45 - 54,135442,2016
Central/Eastern Europe,Russian,55 - 64,80268,2016
Central/Eastern Europe,Russian,65 and Over,25444,2016
Central/Eastern Europe,Russian,Total,1340376,2017
Central/Eastern Europe,Russian,Under 25,267242,2017
Central/Eastern Europe,Russian,25 - 34,441498,2017
Central/Eastern Europe,Russian,35 - 44,296728,2017
Central/Eastern Europe,Russian,45 - 54,183254,2017
Central/Eastern Europe,Russian,55 - 64,112321,2017
Central/Eastern Europe,Russian,65 and Over,39333,2017
Central/Eastern Europe,Russian,Total,1466457,2018
Central/Eastern Europe,Russian,Under 25,279921,2018
Central/Eastern Europe,Russian,25 - 34,463916,2018
Central/Eastern Europe,Russian,35 - 44,333064,2018
Central/Eastern Europe,Russian,45 - 54,212841,2018
Central/Eastern Europe,Russian,55 - 64,129995,2018
Central/Eastern Europe,Russian,65 and Over,46720,2018
Central/Eastern Europe,Russian,Total,1481837,2019
Central/Eastern Europe,Russian,Under 25,292553,2019
Central/Eastern Europe,Russian,25 - 34,425900,2019
Central/Eastern Europe,Russian,35 - 44,352598,2019
Central/Eastern Europe,Russian,45 - 54,224005,2019
Central/Eastern Europe,Russian,55 - 64,138331,2019
Central/Eastern Europe,Russian,65 and Over,48450,2019
Central/Eastern Europe,Russian,Total,586381,2020
Central/Eastern Europe,Russian,Under 25,119059,2020
Central/Eastern Europe,Russian,25 - 34,163121,2020
Central/Eastern Europe,Russian,35 - 44,142001,2020
Central/Eastern Europe,Russian,45 - 54,88941,2020
Central/Eastern Europe,Russian,55 - 64,54043,2020
Central/Eastern Europe,Russian,65 and Over,19216,2020
Southern/Medit. Europe,Spain,Total,147380,2015
Southern/Medit. Europe,Spain,Under 25,16500,2015
Southern/Medit. Europe,Spain,25 - 34,54191,2015
Southern/Medit. Europe,Spain,35 - 44,39847,2015
Southern/Medit. Europe,Spain,45 - 54,21124,2015
Southern/Medit. Europe,Spain,55 - 64,11479,2015
Southern/Medit. Europe,Spain,65 and Over,4239,2015
Southern/Medit. Europe,Spain,Total,168264,2016
Southern/Medit. Europe,Spain,Under 25,22145,2016
Southern/Medit. Europe,Spain,25 - 34,66187,2016
Southern/Medit. Europe,Spain,35 - 44,40084,2016
