Region,Country,Age,Arrivals,Year
Southern/Medit. Europe,Spain,45 - 54,20622,2016
Southern/Medit. Europe,Spain,55 - 64,13419,2016
Southern/Medit. Europe,Spain,65 and Over,5807,2016
Southern/Medit. Europe,Spain,Total,178954,2017
Southern/Medit. Europe,Spain,Under 25,20015,2017
Southern/Medit. Europe,Spain,25 - 34,65452,2017
Southern/Medit. Europe,Spain,35 - 44,44165,2017
Southern/Medit. Europe,Spain,45 - 54,25943,2017
Southern/Medit. Europe,Spain,55 - 64,16060,2017
Southern/Medit. Europe,Spain,65 and Over,7319,2017
Southern/Medit. Europe,Spain,Total,176597,2018
Southern/Medit. Europe,Spain,Under 25,19064,2018
Southern/Medit. Europe,Spain,25 - 34,63883,2018
Southern/Medit. Europe,Spain,35 - 44,43700,2018
Southern/Medit. Europe,Spain,45 - 54,26694,2018
Southern/Medit. Europe,Spain,55 - 64,16056,2018
Southern/Medit. Europe,Spain,65 and Over,7200,2018
Southern/Medit. Europe,Spain,Total,186969,2019
Southern/Medit. Europe,Spain,Under 25,24025,2019
Southern/Medit. Europe,Spain,25 - 34,66750,2019
Southern/Medit. Europe,Spain,35 - 44,42397,2019
Southern/Medit. Europe,Spain,45 - 54,28605,2019
Southern/Medit. Europe,Spain,55 - 64,16642,2019
Southern/Medit. Europe,Spain,65 and Over,8550,2019
Southern/Medit. Europe,Spain,Total,26499,2020
Southern/Medit. Europe,Spain,Under 25,2560,2020
Southern/Medit. Europe,Spain,25 - 34,8340,2020
Southern/Medit. Europe,Spain,35 - 44,6019,2020
Southern/Medit. Europe,Spain,45 - 54,4197,2020
Southern/Medit. Europe,Spain,55 - 64,3084,2020
Southern/Medit. Europe,Spain,65 and Over,2299,2020
Northern Europe,Sweden,Total,317792,2015
Northern Europe,Sweden,Under 25,70793,2015
Northern Europe,Sweden,25 - 34,61832,2015
Northern Europe,Sweden,35 - 44,58137,2015
Northern Europe,Sweden,45 - 54,59994,2015
Northern Europe,Sweden,55 - 64,39987,2015
Northern Europe,Sweden,65 and Over,27049,2015
Northern Europe,Sweden,Total,329070,2016
Northern Europe,Sweden,Under 25,87708,2016
Northern Europe,Sweden,25 - 34,87308,2016
Northern Europe,Sweden,35 - 44,47583,2016
Northern Europe,Sweden,45 - 54,44161,2016
Northern Europe,Sweden,55 - 64,34807,2016
Northern Europe,Sweden,65 and Over,27503,2016
Northern Europe,Sweden,Total,317797,2017
Northern Europe,Sweden,Under 25,84710,2017
Northern Europe,Sweden,25 - 34,61193,2017
Northern Europe,Sweden,35 - 44,49870,2017
Northern Europe,Sweden,45 - 54,51488,2017
Northern Europe,Sweden,55 - 64,38498,2017
Northern Europe,Sweden,65 and Over,32038,2017
Northern Europe,Sweden,Total,304206,2018
Northern Europe,Sweden,Under 25,74344,2018
Northern Europe,Sweden,25 - 34,50667,2018
Northern Europe,Sweden,35 - 44,39929,2018
Northern Europe,Sweden,45 - 54,53052,2018
Northern Europe,Sweden,55 - 64,47537,2018
Northern Europe,Sweden,65 and Over,38677,2018
Northern Europe,Sweden,Total,279451,2019
Northern Europe,Sweden,Under 25,66722,2019
Northern Europe,Sweden,25 - 34,45333,2019
Northern Europe,Sweden,35 - 44,37242,2019
Northern Europe,Sweden,45 - 54,49146,2019
Northern Europe,Sweden,55 - 64,44332,2019
Northern Europe,Sweden,65 and Over,36676,2019
Northern Europe,Sweden,Total,108921,2020
Northern Europe,Sweden,Under 25,25260,2020
Northern Europe,Sweden,25 - 34,17596,2020
Northern Europe,Sweden,35 - 44,14697,2020
Northern Europe,Sweden,45 - 54,17046,2020
Northern Europe,Sweden,55 - 64,17710,2020
Northern Europe,Sweden,65 and Over,16612,2020
Western Europe,Switzerland,Total,219967,2015
Western Europe,Switzerland,Under 25,28520,2015
Western Europe,Switzerland,25 - 34,49739,2015
Western Europe,Switzerland,35 - 44,38937,2015
Western Europe,Switzerland,45 - 54,49017,2015
Western Europe,Switzerland,55 - 64,36344,2015
Western Europe,Switzerland,65 and Over,17410,2015
Western Europe,Switzerland,Total,226412,2016
Western Europe,Switzerland,Under 25,42286,2016
Western Europe,Switzerland,25 - 34,58826,2016
Western Europe,Switzerland,35 - 44,32983,2016
Western Europe,Switzerland,45 - 54,37095,2016
Western Europe,Switzerland,55 - 64,32551,2016
Western Europe,Switzerland,65 and Over,22671,2016
Western Europe,Switzerland,Total,227152,2017
Western Europe,Switzerland,Under 25,40577,2017
Western Europe,Switzerland,25 - 34,57944,2017
Western Europe,Switzerland,35 - 44,32969,2017
Western Europe,Switzerland,45 - 54,38892,2017
Western Europe,Switzerland,55 - 64,33595,2017
Western Europe,Switzerland,65 and Over,23175,2017
Western Europe,Switzerland,Total,225985,2018
Western Europe,Switzerland,Under 25,38072,2018
Western Europe,Switzerland,25 - 34,51740,2018
Western Europe,Switzerland,35 - 44,33075,2018
Western Europe,Switzerland,45 - 54,40061,2018
Western Europe,Switzerland,55 - 64,37329,2018
Western Europe,Switzerland,65 and Over,25708,2018
Western Europe,Switzerland,Total,206087,2019
Western Europe,Switzerland,Under 25,34915,2019
Western Europe,Switzerland,25 - 34,45713,2019
Western Europe,Switzerland,35 - 44,30632,2019
Western Europe,Switzerland,45 - 54,36052,2019
Western Europe,Switzerland,55 - 64,34469,2019
Western Europe,Switzerland,65 and Over,24306,2019
Western Europe,Switzerland,Total,54006,2020
Western Europe,Switzerland,Under 25,6779,2020
Western Europe,Switzerland,25 - 34,11240,2020
Western Europe,Switzerland,35 - 44,7008,2020
Western Europe,Switzerland,45 - 54,8374,2020
Western Europe,Switzerland,55 - 64,10846,2020
Western Europe,Switzerland,65 and Over,9759,2020
Northern Europe,United Kingdom,Total,896591,2015
Northern Europe,United Kingdom,Under 25,137131,2015
Northern Europe,United Kingdom,25 - 34,223943,2015
Northern Europe,United Kingdom,35 - 44,158882,2015
Northern Europe,United Kingdom,45 - 54,179141,2015
Northern Europe,United Kingdom,55 - 64,128603,2015
Northern Europe,United Kingdom,65 and Over,68891,2015
Northern Europe,United Kingdom,Total,961471,2016
Northern Europe,United Kingdom,Under 25,193087,2016
Northern Europe,United Kingdom,25 - 34,251118,2016
Northern Europe,United Kingdom,35 - 44,137936,2016
Northern Europe,United Kingdom,45 - 54,158253,2016
Northern Europe,United Kingdom,55 - 64,131255,2016
Northern Europe,United Kingdom,65 and Over,89822,2016
Northern Europe,United Kingdom,Total,945061,2017
Northern Europe,United Kingdom,Under 25,177352,2017
Northern Europe,United Kingdom,25 - 34,240248,2017
Northern Europe,United Kingdom,35 - 44,137374,2017
Northern Europe,United Kingdom,45 - 54,162209,2017
Northern Europe,United Kingdom,55 - 64,136764,2017
Northern Europe,United Kingdom,65 and Over,91114,2017
Northern Europe,United Kingdom,Total,954404,2018
Northern Europe,United Kingdom,Under 25,161412,2018
Northern Europe,United Kingdom,25 - 34,226485,2018
Northern Europe,United Kingdom,35 - 44,142880,2018
Northern Europe,United Kingdom,45 - 54,173184,2018
Northern Europe,United Kingdom,55 - 64,148206,2018
Northern Europe,United Kingdom,65 and Over,102237,2018
Northern Europe,United Kingdom,Total,946774,2019
Northern Europe,United Kingdom,Under 25,166325,2019
Northern Europe,United Kingdom,25 - 34,207027,2019
Northern Europe,United Kingdom,35 - 44,141943,2019
Northern Europe,United Kingdom,45 - 54,166005,2019
Northern Europe,United Kingdom,55 - 64,155929,2019
Northern Europe,United Kingdom,65 and Over,109545,2019
Northern Europe,United Kingdom,Total,215861,2020
Northern Europe,United Kingdom,Under 25,24361,2020
Northern Europe,United Kingdom,25 - 34,45582,2020
Northern Europe,United Kingdom,35 - 44,32632,2020
Northern Europe,United Kingdom,45 - 54,34739,2020
Northern Europe,United Kingdom,55 - 64,43906,2020
Northern Europe,United Kingdom,65 and Over,34641,2020
East Europe,East Europe,Total,346352,2015
East Europe,East Europe,Under 25,47965,2015
East Europe,East Europe,25 - 34,108346,2015
East Europe,East Europe,35 - 44,90842,2015
East Europe,East Europe,45 - 54,58076,2015
East Europe,East Europe,55 - 64,33239,2015
East Europe,East Europe,65 and Over,7884,2015
East Europe,East Europe,Total,379153,2016
East Europe,East Europe,Under 25,73668,2016
East Europe,East Europe,25 - 34,139838,2016
East Europe,East Europe,35 - 44,79374,2016
East Europe,East Europe,45 - 54,47057,2016
East Europe,East Europe,55 - 64,28354,2016
East Europe,East Europe,65 and Over,10862,2016
East Europe,East Europe,Total,445521,2017
East Europe,East Europe,Under 25,70834,2017
East Europe,East Europe,25 - 34,162741,2017
East Europe,East Europe,35 - 44,102561,2017
East Europe,East Europe,45 - 54,61006,2017
East Europe,East Europe,55 - 64,35063,2017
East Europe,East Europe,65 and Over,13316,2017
East Europe,East Europe,Total,487669,2018
East Europe,East Europe,Under 25,77081,2018
East Europe,East Europe,25 - 34,164883,2018
East Europe,East Europe,35 - 44,112719,2018
East Europe,East Europe,45 - 54,74038,2018
East Europe,East Europe,55 - 64,42221,2018
East Europe,East Europe,65 and Over,16727,2018
East Europe,East Europe,Total,532911,2019
East Europe,East Europe,Under 25,85530,2019
East Europe,East Europe,25 - 34,166871,2019
East Europe,East Europe,35 - 44,125932,2019
East Europe,East Europe,45 - 54,87461,2019
East Europe,East Europe,55 - 64,47280,2019
East Europe,East Europe,65 and Over,19837,2019
East Europe,East Europe,Total,211106,2020
East Europe,East Europe,Under 25,33877,2020
East Europe,East Europe,25 - 34,56834,2020
East Europe,East Europe,35 - 44,50592,2020
East Europe,East Europe,45 - 54,39002,2020
East Europe,East Europe,55 - 64,20833,2020
East Europe,East Europe,65 and Over,9968,2020
Europe,Others in Europe,Total,195564,2015
Europe,Others in Europe,Under 25,28464,2015
Europe,Others in Europe,25 - 34,58043,2015
Europe,Others in Europe,35 - 44,47597,2015
Europe,Others in Europe,45 - 54,32844,2015
Europe,Others in Europe,55 - 64,20755,2015
Europe,Others in Europe,65 and Over,7861,2015
Europe,Others in Europe,Total,158924,2016
Europe,Others in Europe,Under 25,25571,2016
Europe,Others in Europe,25 - 34,52788,2016
Europe,Others in Europe,35 - 44,36239,2016
Europe,Others in Europe,45 - 54,24106,2016
Europe,Others in Europe,55 - 64,14020,2016
Europe,Others in Europe,65 and Over,6200,2016
Europe,Others in Europe,Total,172742,2017
Europe,Others in Europe,Under 25,21040,2017
Europe,Others in Europe,25 - 34,57601,2017
Europe,Others in Europe,35 - 44,41995,2017
Europe,Others in Europe,45 - 54,27540,2017
Europe,Others in Europe,55 - 64,16664,2017
Europe,Others in Europe,65 and Over,7902,2017
Europe,Others in Europe,Total,173470,2018
Europe,Others in Europe,Under 25,20891,2018
Europe,Others in Europe,25 - 34,56019,2018
Europe,Others in Europe,35 - 44,40834,2018
Europe,Others in Europe,45 - 54,28995,2018
Europe,Others in Europe,55 - 64,18028,2018
Europe,Others in Europe,65 and Over,8703,2018
Europe,Others in Europe,Total,171409,2019
Europe,Others in Europe,Under 25,21916,2019
Europe,Others in Europe,25 - 34,51832,2019
Europe,Others in Europe,35 - 44,40401,2019
Europe,Others in Europe,45 - 54,29357,2019
Europe,Others in Europe,55 - 64,18034,2019
Europe,Others in Europe,65 and Over,9869,2019
Europe,Others in Europe,Total,47166,2020
Europe,Others in Europe,Under 25,4881,2020
Europe,Others in Europe,25 - 34,13095,2020
Europe,Others in Europe,35 - 44,11483,2020
Europe,Others in Europe,45 - 54,8516,2020
Europe,Others in Europe,55 - 64,5903,2020
Europe,Others in Europe,65 and Over,3288,2020
America,Argentina,Total,28050,2015
America,Argentina,Under 25,2926,2015
America,Argentina,25 - 34,12596,2015
America,Argentina,35 - 44,5763,2015
America,Argentina,45 - 54,2687,2015
America,Argentina,55 - 64,2840,2015
America,Argentina,65 and Over,1238,2015
America,Argentina,Total,46390,2016
America,Argentina,Under 25,6110,2016
America,Argentina,25 - 34,22109,2016
America,Argentina,35 - 44,7816,2016
America,Argentina,45 - 54,3761,2016
America,Argentina,55 - 64,4053,2016
America,Argentina,65 and Over,2541,2016
America,Argentina,Total,62738,2017
America,Argentina,Under 25,6638,2017
America,Argentina,25 - 34,28956,2017
America,Argentina,35 - 44,11220,2017
America,Argentina,45 - 54,5795,2017
America,Argentina,55 - 64,6183,2017
America,Argentina,65 and Over,3946,2017
America,Argentina,Total,43485,2018
America,Argentina,Under 25,4930,2018
America,Argentina,25 - 34,19733,2018
America,Argentina,35 - 44,7728,2018
America,Argentina,45 - 54,4147,2018
America,Argentina,55 - 64,4344,2018
America,Argentina,65 and Over,2603,2018
America,Argentina,Total,28183,2019
America,Argentina,Under 25,3096,2019
America,Argentina,25 - 34,12227,2019
America,Argentina,35 - 44,5343,2019
America,Argentina,45 - 54,2842,2019
America,Argentina,55 - 64,2757,2019
America,Argentina,65 and Over,1918,2019
America,Argentina,Total,12461,2020
America,Argentina,Under 25,1762,2020
America,Argentina,25 - 34,4946,2020
America,Argentina,35 - 44,2491,2020
America,Argentina,45 - 54,1505,2020
America,Argentina,55 - 64,1209,2020
America,Argentina,65 and Over,548,2020
America,Brazil,Total,44414,2015
America,Brazil,Under 25,5184,2015
America,Brazil,25 - 34,17115,2015
America,Brazil,35 - 44,10069,2015
America,Brazil,45 - 54,5366,2015
America,Brazil,55 - 64,4994,2015
America,Brazil,65 and Over,1686,2015
America,Brazil,Total,63139,2016
America,Brazil,Under 25,9414,2016
America,Brazil,25 - 34,27989,2016
America,Brazil,35 - 44,12992,2016
America,Brazil,45 - 54,5546,2016
America,Brazil,55 - 64,4772,2016
America,Brazil,65 and Over,2426,2016
America,Brazil,Total,71349,2017
America,Brazil,Under 25,8202,2017
America,Brazil,25 - 34,29411,2017
America,Brazil,35 - 44,15696,2017
America,Brazil,45 - 54,7268,2017
America,Brazil,55 - 64,6826,2017
America,Brazil,65 and Over,3946,2017
America,Brazil,Total,57105,2018
America,Brazil,Under 25,6009,2018
America,Brazil,25 - 34,22535,2018
America,Brazil,35 - 44,12256,2018
America,Brazil,45 - 54,6825,2018
America,Brazil,55 - 64,5803,2018
America,Brazil,65 and Over,3677,2018
America,Brazil,Total,58970,2019
America,Brazil,Under 25,6488,2019
America,Brazil,25 - 34,23416,2019
America,Brazil,35 - 44,13451,2019
America,Brazil,45 - 54,6693,2019
America,Brazil,55 - 64,5320,2019
America,Brazil,65 and Over,3602,2019
America,Brazil,Total,18200,2020
America,Brazil,Under 25,2280,2020
America,Brazil,25 - 34,6136,2020
America,Brazil,35 - 44,4232,2020
America,Brazil,45 - 54,2219,2020
America,Brazil,55 - 64,2139,2020
America,Brazil,65 and Over,1194,2020
America,Canada,Total,210097,2015
America,Canada,Under 25,31644,2015
America,Canada,25 - 34,59492,2015
America,Canada,35 - 44,32175,2015
America,Canada,45 - 54,34772,2015
America,Canada,55 - 64,33275,2015
America,Canada,65 and Over,18739,2015
America,Canada,Total,222358,2016
America,Canada,Under 25,47357,2016
America,Canada,25 - 34,66322,2016
America,Canada,35 - 44,31059,2016
America,Canada,45 - 54,28541,2016
America,Canada,55 - 64,29691,2016
America,Canada,65 and Over,19388,2016
America,Canada,Total,227069,2017
America,Canada,Under 25,44993,2017
America,Canada,25 - 34,61983,2017
America,Canada,35 - 44,30762,2017
America,Canada,45 - 54,30572,2017
America,Canada,55 - 64,34194,2017
America,Canada,65 and Over,24565,2017
America,Canada,Total,252763,2018
America,Canada,Under 25,46792,2018
America,Canada,25 - 34,65351,2018
America,Canada,35 - 44,34385,2018
America,Canada,45 - 54,35964,2018
America,Canada,55 - 64,40383,2018
America,Canada,65 and Over,29888,2018
America,Canada,Total,252574,2019
America,Canada,Under 25,44590,2019
America,Canada,25 - 34,62790,2019
America,Canada,35 - 44,36491,2019
America,Canada,45 - 54,35626,2019
America,Canada,55 - 64,41513,2019
America,Canada,65 and Over,31564,2019
America,Canada,Total,55984,2020
America,Canada,Under 25,6529,2020
America,Canada,25 - 34,12833,2020
America,Canada,35 - 44,8987,2020
America,Canada,45 - 54,7466,2020
America,Canada,55 - 64,11209,2020
America,Canada,65 and Over,8960,2020
America,USA,Total,827110,2015
America,USA,Under 25,102185,2015
America,USA,25 - 34,212328,2015
America,USA,35 - 44,149646,2015
America,USA,45 - 54,147685,2015
America,USA,55 - 64,133227,2015
America,USA,65 and Over,82039,2015
America,USA,Total,938862,2016
America,USA,Under 25,165087,2016
America,USA,25 - 34,263367,2016
America,USA,35 - 44,144550,2016
America,USA,45 - 54,135090,2016
America,USA,55 - 64,127822,2016
America,USA,65 and Over,102946,2016
America,USA,Total,1006939,2017
America,USA,Under 25,170661,2017
America,USA,25 - 34,273691,2017
America,USA,35 - 44,158399,2017
America,USA,45 - 54,147578,2017
America,USA,55 - 64,143683,2017
America,USA,65 and Over,112927,2017
America,USA,Total,1096177,2018
America,USA,Under 25,172086,2018
America,USA,25 - 34,296737,2018
America,USA,35 - 44,177110,2018
America,USA,45 - 54,162073,2018
America,USA,55 - 64,156409,2018
America,USA,65 and Over,131762,2018
America,USA,Total,1136210,2019
America,USA,Under 25,173824,2019
America,USA,25 - 34,279986,2019
America,USA,35 - 44,188056,2019
America,USA,45 - 54,175753,2019
America,USA,55 - 64,170529,2019
America,USA,65 and Over,148062,2019
America,USA,Total,208608,2020
America,USA,Under 25,24246,2020
America,USA,25 - 34,52315,2020
America,USA,35 - 44,35953,2020
America,USA,45 - 54,29755,2020
America,USA,55 - 64,33029,2020
America,USA,65 and Over,33310,2020
America,Others in America,Total,59161,2015
America,Others in America,Under 25,12193,2015
America,Others in America,25 - 34,21443,2015
America,Others in America,35 - 44,10605,2015
America,Others in America,45 - 54,6960,2015
America,Others in America,55 - 64,5217,2015
America,Others in America,65 and Over,2743,2015
America,Others in America,Total,70724,2016
America,Others in America,Under 25,11471,2016
America,Others in America,25 - 34,30899,2016
America,Others in America,35 - 44,12859,2016
America,Others in America,45 - 54,6788,2016
America,Others in America,55 - 64,5640,2016
America,Others in America,65 and Over,3067,2016
America,Others in America,Total,80799,2017
America,Others in America,Under 25,10433,2017
America,Others in America,25 - 34,35499,2017
America,Others in America,35 - 44,15613,2017
America,Others in America,45 - 54,8478,2017
America,Others in America,55 - 64,6793,2017
America,Others in America,65 and Over,3983,2017
America,Others in America,Total,84478,2018
America,Others in America,Under 25,10152,2018
America,Others in America,25 - 34,36195,2018
America,Others in America,35 - 44,16355,2018
America,Others in America,45 - 54,9235,2018
America,Others in America,55 - 64,7679,2018
America,Others in America,65 and Over,4862,2018
America,Others in America,Total,83863,2019
America,Others in America,Under 25,9942,2019
America,Others in America,25 - 34,34806,2019
America,Others in America,35 - 44,16845,2019
America,Others in America,45 - 54,9332,2019
America,Others in America,55 - 64,7960,2019
America,Others in America,65 and Over,4978,2019
America,Others in America,Total,15997,2020
America,Others in America,Under 25,1900,2020
America,Others in America,25 - 34,6791,2020
America,Others in America,35 - 44,3320,2020
America,Others in America,45 - 54,1817,2020
America,Others in America,55 - 64,1404,2020
America,Others in America,65 and Over,765,2020
South Asia,Bangladesh,Total,109033,2015
South Asia,Bangladesh,Under 25,20336,2015
South Asia,Bangladesh,25 - 34,22622,2015
South Asia,Bangladesh,35 - 44,29160,2015
South Asia,Bangladesh,45 - 54,21795,2015
South Asia,Bangladesh,55 - 64,11584,2015
South Asia,Bangladesh,65 and Over,3536,2015
South Asia,Bangladesh,Total,103616,2016
South Asia,Bangladesh,Under 25,22433,2016
South Asia,Bangladesh,25 - 34,23112,2016
South Asia,Bangladesh,35 - 44,27284,2016
South Asia,Bangladesh,45 - 54,18128,2016
South Asia,Bangladesh,55 - 64,9174,2016
South Asia,Bangladesh,65 and Over,3485,2016
South Asia,Bangladesh,Total,125580,2017
South Asia,Bangladesh,Under 25,25900,2017
South Asia,Bangladesh,25 - 34,27553,2017
South Asia,Bangladesh,35 - 44,33134,2017
South Asia,Bangladesh,45 - 54,22790,2017
South Asia,Bangladesh,55 - 64,11834,2017
South Asia,Bangladesh,65 and Over,4369,2017
South Asia,Bangladesh,Total,125809,2018
South Asia,Bangladesh,Under 25,25095,2018
South Asia,Bangladesh,25 - 34,28289,2018
South Asia,Bangladesh,35 - 44,32331,2018
South Asia,Bangladesh,45 - 54,23295,2018
South Asia,Bangladesh,55 - 64,11898,2018
South Asia,Bangladesh,65 and Over,4901,2018
South Asia,Bangladesh,Total,139622,2019
South Asia,Bangladesh,Under 25,30153,2019
South Asia,Bangladesh,25 - 34,31750,2019
South Asia,Bangladesh,35 - 44,36583,2019
South Asia,Bangladesh,45 - 54,24451,2019
South Asia,Bangladesh,55 - 64,11701,2019
South Asia,Bangladesh,65 and Over,4984,2019
South Asia,Bangladesh,Total,22913,2020
South Asia,Bangladesh,Under 25,4382,2020
South Asia,Bangladesh,25 - 34,5499,2020
South Asia,Bangladesh,35 - 44,6261,2020
South Asia,Bangladesh,45 - 54,4251,2020
South Asia,Bangladesh,55 - 64,1979,2020
South Asia,Bangladesh,65 and Over,541,2020
South Asia,India,Total,1039395,2015
South Asia,India,Under 25,148746,2015
South Asia,India,25 - 34,300478,2015
South Asia,India,35 - 44,301032,2015
South Asia,India,45 - 54,177627,2015
South Asia,India,55 - 64,83470,2015
South Asia,India,65 and Over,28042,2015
South Asia,India,Total,1076970,2016
South Asia,India,Under 25,163110,2016
South Asia,India,25 - 34,346265,2016
South Asia,India,35 - 44,286570,2016
South Asia,India,45 - 54,164985,2016
South Asia,India,55 - 64,81825,2016
South Asia,India,65 and Over,34215,2016
South Asia,India,Total,1281681,2017
South Asia,India,Under 25,183606,2017
South Asia,India,25 - 34,399173,2017
South Asia,India,35 - 44,346460,2017
South Asia,India,45 - 54,205461,2017
South Asia,India,55 - 64,102494,2017
South Asia,India,65 and Over,44487,2017
South Asia,India,Total,1562878,2018
South Asia,India,Under 25,233076,2018
South Asia,India,25 - 34,474748,2018
South Asia,India,35 - 44,420795,2018
South Asia,India,45 - 54,248909,2018
South Asia,India,55 - 64,126879,2018
South Asia,India,65 and Over,58471,2018
South Asia,India,Total,1961069,2019
South Asia,India,Under 25,313019,2019
South Asia,India,25 - 34,602754,2019
South Asia,India,35 - 44,509361,2019
South Asia,India,45 - 54,299572,2019
South Asia,India,55 - 64,161544,2019
South Asia,India,65 and Over,74819,2019
South Asia,India,Total,265223,2020
South Asia,India,Under 25,37011,2020
South Asia,India,25 - 34,97627,2020
South Asia,India,35 - 44,65360,2020
South Asia,India,45 - 54,36390,2020
South Asia,India,55 - 64,20151,2020
South Asia,India,65 and Over,8684,2020
South Asia,Nepal,Total,33325,2015
South Asia,Nepal,Under 25,6627,2015
South Asia,Nepal,25 - 34,7980,2015
South Asia,Nepal,35 - 44,8411,2015
South Asia,Nepal,45 - 54,6189,2015
South Asia,Nepal,55 - 64,3393,2015
South Asia,Nepal,65 and Over,725,2015
South Asia,Nepal,Total,43170,2016
South Asia,Nepal,Under 25,7698,2016
South Asia,Nepal,25 - 34,12807,2016
South Asia,Nepal,35 - 44,11057,2016
South Asia,Nepal,45 - 54,7309,2016
South Asia,Nepal,55 - 64,3211,2016
South Asia,Nepal,65 and Over,1088,2016
South Asia,Nepal,Total,43782,2017
South Asia,Nepal,Under 25,7462,2017
South Asia,Nepal,25 - 34,12972,2017
South Asia,Nepal,35 - 44,11296,2017
South Asia,Nepal,45 - 54,7403,2017
South Asia,Nepal,55 - 64,3626,2017
South Asia,Nepal,65 and Over,1023,2017
South Asia,Nepal,Total,55482,2018
South Asia,Nepal,Under 25,9732,2018
South Asia,Nepal,25 - 34,15851,2018
South Asia,Nepal,35 - 44,14109,2018
South Asia,Nepal,45 - 54,9957,2018
South Asia,Nepal,55 - 64,4383,2018
South Asia,Nepal,65 and Over,1450,2018
South Asia,Nepal,Total,60428,2019
South Asia,Nepal,Under 25,9780,2019
South Asia,Nepal,25 - 34,16733,2019
South Asia,Nepal,35 - 44,15252,2019
South Asia,Nepal,45 - 54,11204,2019
South Asia,Nepal,55 - 64,5364,2019
South Asia,Nepal,65 and Over,2095,2019
South Asia,Nepal,Total,10396,2020
South Asia,Nepal,Under 25,1854,2020
South Asia,Nepal,25 - 34,2913,2020
South Asia,Nepal,35 - 44,2636,2020
South Asia,Nepal,45 - 54,1643,2020
South Asia,Nepal,55 - 64,929,2020
South Asia,Nepal,65 and Over,421,2020
South Asia,Pakistan,Total,76366,2015
South Asia,Pakistan,Under 25,10056,2015
South Asia,Pakistan,25 - 34,20835,2015
South Asia,Pakistan,35 - 44,22638,2015
South Asia,Pakistan,45 - 54,14622,2015
South Asia,Pakistan,55 - 64,6626,2015
South Asia,Pakistan,65 and Over,1589,2015
South Asia,Pakistan,Total,71720,2016
South Asia,Pakistan,Under 25,13198,2016
South Asia,Pakistan,25 - 34,23971,2016
South Asia,Pakistan,35 - 44,18192,2016
South Asia,Pakistan,45 - 54,10001,2016
South Asia,Pakistan,55 - 64,4850,2016
South Asia,Pakistan,65 and Over,1508,2016
South Asia,Pakistan,Total,76784,2017
South Asia,Pakistan,Under 25,13501,2017
South Asia,Pakistan,25 - 34,23902,2017
South Asia,Pakistan,35 - 44,19998,2017
