0,Frequency of visit ,No of Arrival by Frequency of purpose,Year,,,
    Others in Africa,Total,"37,693","2,017",,,
    Others in Africa,First visit,"63,419","2,017",,,
    Others in Africa,Re-visit,"101,112","2,017",,,
        Brunai,Total,"18,460","2,018",,,
        Brunai,First visit,"3,664","2,018",,,
        Brunai,Re-visit,"14,796","2,018",,,
        Cambodia,Total,"950,980","2,018",,,
        Cambodia,First visit,"126,145","2,018",,,
        Cambodia,Re-visit,"824,835","2,018",,,
        Indonesia,Total,"644,479","2,018",,,
        Indonesia,First visit,"245,195","2,018",,,
        Indonesia,Re-visit,"399,284","2,018",,,
        Laos,Total,"1,682,304","2,018",,,
        Laos,First visit,"98,640","2,018",,,
        Laos,Re-visit,"1,583,664","2,018",,,
        Malaysia,Total,"4,042,998","2,018",,,
        Malaysia,First visit,"1,190,145","2,018",,,
        Malaysia,Re-visit,"2,852,853","2,018",,,
        Myanmar,Total,"379,880","2,018",,,
        Myanmar,First visit,"63,289","2,018",,,
        Myanmar,Re-visit,"316,591","2,018",,,
        Philippines,Total,"407,832","2,018",,,
        Philippines,First visit,"132,126","2,018",,,
        Philippines,Re-visit,"275,706","2,018",,,
        Singapore,Total,"1,168,112","2,018",,,
        Singapore,First visit,"109,772","2,018",,,
        Singapore,Re-visit,"1,058,340","2,018",,,
        Vietnam,Total,"1,053,723","2,018",,,
        Vietnam,First visit,"395,049","2,018",,,
        Vietnam,Re-visit,"658,674","2,018",,,
    China,Total,"10,625,167","2,018",,,
    China,First visit,"5,762,730","2,018",,,
    China,Re-visit,"4,862,437","2,018",,,
    Hong Kong,Total,"1,047,559","2,018",,,
    Hong Kong,First visit,"155,252","2,018",,,
    Hong Kong,Re-visit,"892,307","2,018",,,
    Japan,Total,"1,642,712","2,018",,,
    Japan,First visit,"347,328","2,018",,,
    Japan,Re-visit,"1,295,384","2,018",,,
    Korea,Total,"1,785,147","2,018",,,
    Korea,First visit,"776,370","2,018",,,
    Korea,Re-visit,"1,008,777","2,018",,,
    Taiwan,Total,"674,172","2,018",,,
    Taiwan,First visit,"189,132","2,018",,,
    Taiwan,Re-visit,"485,040","2,018",,,
    Others in East,Total,"101,921","2,018",,,
    Others in East,First visit,"20,210","2,018",,,
    Others in East,Re-visit,"81,711","2,018",,,
    Austria,Total,"114,768","2,018",,,
    Austria,First visit,"31,123","2,018",,,
    Austria,Re-visit,"83,645","2,018",,,
    Belgium,Total,"116,346","2,018",,,
    Belgium,First visit,"36,198","2,018",,,
    Belgium,Re-visit,"80,148","2,018",,,
    Denmark,Total,"170,044","2,018",,,
    Denmark,First visit,"33,813","2,018",,,
    Denmark,Re-visit,"136,231","2,018",,,
    Finland,Total,"135,384","2,018",,,
    Finland,First visit,"21,649","2,018",,,
    Finland,Re-visit,"113,735","2,018",,,
    France,Total,"724,350","2,018",,,
    France,First visit,"237,128","2,018",,,
    France,Re-visit,"487,222","2,018",,,
    Germany,Total,"872,185","2,018",,,
    Germany,First visit,"252,250","2,018",,,
    Germany,Re-visit,"619,935","2,018",,,
    Ireland,Total,"58,677","2,018",,,
    Ireland,First visit,"18,786","2,018",,,
    Ireland,Re-visit,"39,891","2,018",,,
    Italy,Total,"263,515","2,018",,,
    Italy,First visit,"97,303","2,018",,,
    Italy,Re-visit,"166,212","2,018",,,
    Netherlands,Total,"226,618","2,018",,,
    Netherlands,First visit,"70,995","2,018",,,
    Netherlands,Re-visit,"155,623","2,018",,,
    Norway,Total,"133,020","2,018",,,
    Norway,First visit,"23,459","2,018",,,
    Norway,Re-visit,"109,561","2,018",,,
    Russian,Total,"1,466,457","2,018",,,
    Russian,First visit,"427,572","2,018",,,
    Russian,Re-visit,"1,038,885","2,018",,,
    Spain,Total,"176,597","2,018",,,
    Spain,First visit,"88,569","2,018",,,
    Spain,Re-visit,"88,028","2,018",,,
    Sweden,Total,"304,206","2,018",,,
    Sweden,First visit,"41,593","2,018",,,
    Sweden,Re-visit,"262,613","2,018",,,
    Switzerland,Total,"225,985","2,018",,,
    Switzerland,First visit,"45,936","2,018",,,
    Switzerland,Re-visit,"180,049","2,018",,,
    United Kingdom,Total,"954,404","2,018",,,
    United Kingdom,First visit,"255,055","2,018",,,
    United Kingdom,Re-visit,"699,349","2,018",,,
    East Europe,Total,"487,669","2,018",,,
    East Europe,First visit,"191,657","2,018",,,
    East Europe,Re-visit,"296,012","2,018",,,
    Others in Europe,Total,"173,470","2,018",,,
    Others in Europe,First visit,"68,683","2,018",,,
    Others in Europe,Re-visit,"104,787","2,018",,,
    Argentina,Total,"43,485","2,018",,,
    Argentina,First visit,"17,678","2,018",,,
    Argentina,Re-visit,"25,807","2,018",,,
    Brazil,Total,"57,105","2,018",,,
    Brazil,First visit,"23,700","2,018",,,
    Brazil,Re-visit,"33,405","2,018",,,
    Canada,Total,"252,763","2,018",,,
    Canada,First visit,"84,347","2,018",,,
    Canada,Re-visit,"168,416","2,018",,,
USA,Total,"1,096,177","2,018",,,
USA,First visit,"370,833","2,018",,,
USA,Re-visit,"725,344","2,018",,,
    Others in America,Total,"84,478","2,018",,,
    Others in America,First visit,"38,786","2,018",,,
    Others in America,Re-visit,"45,692","2,018",,,
    Bangladesh,Total,"125,809","2,018",,,
    Bangladesh,First visit,"29,234","2,018",,,
    Bangladesh,Re-visit,"96,575","2,018",,,
    India,Total,"1,562,878","2,018",,,
    India,First visit,"619,057","2,018",,,
    India,Re-visit,"943,821","2,018",,,
    Nepal,Total,"55,482","2,018",,,
    Nepal,First visit,"20,021","2,018",,,
    Nepal,Re-visit,"35,461","2,018",,,
    Pakistan,Total,"78,256","2,018",,,
    Pakistan,First visit,"23,465","2,018",,,
    Pakistan,Re-visit,"54,791","2,018",,,
    Sri Lanka,Total,"62,697","2,018",,,
    Sri Lanka,First visit,"17,305","2,018",,,
    Sri Lanka,Re-visit,"45,392","2,018",,,
    Others in Asia,Total,"50,761","2,018",,,
    Others in Asia,First visit,"8,365","2,018",,,
    Others in Asia,Re-visit,"42,396","2,018",,,
    Australia,Total,"802,234","2,018",,,
    Australia,First visit,"183,536","2,018",,,
    Australia,Re-visit,"618,698","2,018",,,
    New Zealand,Total,"100,887","2,018",,,
    New Zealand,First visit,"28,575","2,018",,,
    New Zealand,Re-visit,"72,312","2,018",,,
    Others in Oceania,Total,"7,917","2,018",,,
    Others in Oceania,First visit,"2,385","2,018",,,
    Others in Oceania,Re-visit,"5,532","2,018",,,
    Egypt,Total,"18,161","2,018",,,
    Egypt,First visit,"7,430","2,018",,,
    Egypt,Re-visit,"10,731","2,018",,,
    Israel,Total,"185,366","2,018",,,
    Israel,First visit,"57,149","2,018",,,
    Israel,Re-visit,"128,217","2,018",,,
    Kuwait,Total,"77,365","2,018",,,
    Kuwait,First visit,"15,383","2,018",,,
    Kuwait,Re-visit,"61,982","2,018",,,
    Saudi Arabia,Total,"35,090","2,018",,,
    Saudi Arabia,First visit,"12,947","2,018",,,
    Saudi Arabia,Re-visit,"22,143","2,018",,,
    United Arab Emirates,Total,"151,137","2,018",,,
    United Arab Emirates,First visit,"28,425","2,018",,,
    United Arab Emirates,Re-visit,"122,712","2,018",,,
    Others in Middle East,Total,"300,677","2,018",,,
    Others in Middle East,First visit,"86,078","2,018",,,
    Others in Middle East,Re-visit,"214,599","2,018",,,
    South Africa,Total,"97,071","2,018",,,
    South Africa,First visit,"41,891","2,018",,,
    South Africa,Re-visit,"55,180","2,018",,,
    Others in Africa,Total,"103,257","2,018",,,
    Others in Africa,First visit,"34,293","2,018",,,
    Others in Africa,Re-visit,"68,964","2,018",,,
        Brunai,Total,"19,858","2,019",,,
        Brunai,First visit,"3,996","2,019",,,
        Brunai,Re-visit,"15,862","2,019",,,
        Cambodia,Total,"925,437","2,019",,,
        Cambodia,First visit,"93,845","2,019",,,
        Cambodia,Re-visit,"831,592","2,019",,,
        Indonesia,Total,"706,908","2,019",,,
        Indonesia,First visit,"264,848","2,019",,,
        Indonesia,Re-visit,"442,060","2,019",,,
        Laos,Total,"1,856,762","2,019",,,
        Laos,First visit,"71,323","2,019",,,
        Laos,Re-visit,"1,785,439","2,019",,,
        Malaysia,Total,"4,274,458","2,019",,,
        Malaysia,First visit,"1,185,749","2,019",,,
        Malaysia,Re-visit,"3,088,709","2,019",,,
        Myanmar,Total,"389,301","2,019",,,
        Myanmar,First visit,"59,827","2,019",,,
        Myanmar,Re-visit,"329,474","2,019",,,
        Philippines,Total,"473,565","2,019",,,
        Philippines,First visit,"175,313","2,019",,,
        Philippines,Re-visit,"298,252","2,019",,,
        Singapore,Total,"1,150,024","2,019",,,
        Singapore,First visit,"103,700","2,019",,,
        Singapore,Re-visit,"1,046,324","2,019",,,
        Vietnam,Total,"1,080,609","2,019",,,
        Vietnam,First visit,"361,973","2,019",,,
        Vietnam,Re-visit,"718,636","2,019",,,
    China,Total,"11,138,658","2,019",,,
    China,First visit,"5,669,189","2,019",,,
    China,Re-visit,"5,469,469","2,019",,,
    Hong Kong,Total,"1,090,121","2,019",,,
    Hong Kong,First visit,"138,229","2,019",,,
    Hong Kong,Re-visit,"951,892","2,019",,,
    Japan,Total,"1,787,185","2,019",,,
    Japan,First visit,"407,656","2,019",,,
    Japan,Re-visit,"1,379,529","2,019",,,
    Korea,Total,"1,880,465","2,019",,,
    Korea,First visit,"786,653","2,019",,,
    Korea,Re-visit,"1,093,812","2,019",,,
    Taiwan,Total,"781,674","2,019",,,
    Taiwan,First visit,"237,389","2,019",,,
    Taiwan,Re-visit,"544,285","2,019",,,
    Others in East,Total,"114,938","2,019",,,
    Others in East,First visit,"22,770","2,019",,,
    Others in East,Re-visit,"92,168","2,019",,,
    Austria,Total,"110,690","2,019",,,
    Austria,First visit,"33,114","2,019",,,
    Austria,Re-visit,"77,576","2,019",,,
    Belgium,Total,"114,016","2,019",,,
    Belgium,First visit,"37,361","2,019",,,
    Belgium,Re-visit,"76,655","2,019",,,
    Denmark,Total,"159,526","2,019",,,
    Denmark,First visit,"39,212","2,019",,,
    Denmark,Re-visit,"120,314","2,019",,,
    Finland,Total,"125,490","2,019",,,
    Finland,First visit,"24,336","2,019",,,
    Finland,Re-visit,"101,154","2,019",,,
    France,Total,"713,405","2,019",,,
    France,First visit,"240,751","2,019",,,
    France,Re-visit,"472,654","2,019",,,
    Germany,Total,"836,926","2,019",,,
    Germany,First visit,"266,783","2,019",,,
    Germany,Re-visit,"570,143","2,019",,,
    Ireland,Total,"54,344","2,019",,,
    Ireland,First visit,"19,726","2,019",,,
    Ireland,Re-visit,"34,618","2,019",,,
    Italy,Total,"250,870","2,019",,,
    Italy,First visit,"99,072","2,019",,,
    Italy,Re-visit,"151,798","2,019",,,
    Netherlands,Total,"230,006","2,019",,,
    Netherlands,First visit,"75,762","2,019",,,
    Netherlands,Re-visit,"154,244","2,019",,,
    Norway,Total,"130,509","2,019",,,
    Norway,First visit,"28,175","2,019",,,
    Norway,Re-visit,"102,334","2,019",,,
    Russian,Total,"1,481,837","2,019",,,
    Russian,First visit,"505,522","2,019",,,
    Russian,Re-visit,"976,315","2,019",,,
    Spain,Total,"186,969","2,019",,,
    Spain,First visit,"95,384","2,019",,,
    Spain,Re-visit,"91,585","2,019",,,
    Sweden,Total,"279,451","2,019",,,
    Sweden,First visit,"50,134","2,019",,,
    Sweden,Re-visit,"229,317","2,019",,,
    Switzerland,Total,"206,087","2,019",,,
    Switzerland,First visit,"47,227","2,019",,,
    Switzerland,Re-visit,"158,860","2,019",,,
    United Kingdom,Total,"946,774","2,019",,,
    United Kingdom,First visit,"275,533","2,019",,,
    United Kingdom,Re-visit,"671,241","2,019",,,
    East Europe,Total,"532,911","2,019",,,
    East Europe,First visit,"225,698","2,019",,,
    East Europe,Re-visit,"307,213","2,019",,,
    Others in Europe,Total,"171,409","2,019",,,
    Others in Europe,First visit,"72,492","2,019",,,
    Others in Europe,Re-visit,"98,917","2,019",,,
    Argentina,Total,"28,183","2,019",,,
    Argentina,First visit,"10,871","2,019",,,
    Argentina,Re-visit,"17,312","2,019",,,
    Brazil,Total,"58,970","2,019",,,
    Brazil,First visit,"25,864","2,019",,,
    Brazil,Re-visit,"33,106","2,019",,,
    Canada,Total,"252,574","2,019",,,
    Canada,First visit,"86,433","2,019",,,
    Canada,Re-visit,"166,141","2,019",,,
USA,Total,"1,136,210","2,019",,,
USA,First visit,"409,234","2,019",,,
USA,Re-visit,"726,976","2,019",,,
    Others in America,Total,"83,863","2,019",,,
    Others in America,First visit,"39,627","2,019",,,
    Others in America,Re-visit,"44,236","2,019",,,
    Bangladesh,Total,"139,622","2,019",,,
    Bangladesh,First visit,"35,728","2,019",,,
    Bangladesh,Re-visit,"103,894","2,019",,,
    India,Total,"1,961,069","2,019",,,
    India,First visit,"790,339","2,019",,,
    India,Re-visit,"1,170,730","2,019",,,
    Nepal,Total,"60,428","2,019",,,
    Nepal,First visit,"21,249","2,019",,,
    Nepal,Re-visit,"39,179","2,019",,,
    Pakistan,Total,"71,917","2,019",,,
    Pakistan,First visit,"21,980","2,019",,,
    Pakistan,Re-visit,"49,937","2,019",,,
    Sri Lanka,Total,"70,247","2,019",,,
    Sri Lanka,First visit,"17,033","2,019",,,
    Sri Lanka,Re-visit,"53,214","2,019",,,
    Others in Asia,Total,"53,694","2,019",,,
    Others in Asia,First visit,"9,750","2,019",,,
    Others in Asia,Re-visit,"43,944","2,019",,,
    Australia,Total,"771,798","2,019",,,
    Australia,First visit,"203,630","2,019",,,
    Australia,Re-visit,"568,168","2,019",,,
    New Zealand,Total,"93,740","2,019",,,
    New Zealand,First visit,"29,179","2,019",,,
    New Zealand,Re-visit,"64,561","2,019",,,
    Others in Oceania,Total,"8,616","2,019",,,
    Others in Oceania,First visit,"2,897","2,019",,,
    Others in Oceania,Re-visit,"5,719","2,019",,,
    Egypt,Total,"19,010","2,019",,,
    Egypt,First visit,"8,128","2,019",,,
    Egypt,Re-visit,"10,882","2,019",,,
    Israel,Total,"194,081","2,019",,,
    Israel,First visit,"55,171","2,019",,,
    Israel,Re-visit,"138,910","2,019",,,
    Kuwait,Total,"84,504","2,019",,,
    Kuwait,First visit,"18,487","2,019",,,
    Kuwait,Re-visit,"66,017","2,019",,,
    Saudi Arabia,Total,"36,783","2,019",,,
    Saudi Arabia,First visit,"13,480","2,019",,,
    Saudi Arabia,Re-visit,"23,303","2,019",,,
    United Arab Emirates,Total,"145,530","2,019",,,
    United Arab Emirates,First visit,"29,602","2,019",,,
    United Arab Emirates,Re-visit,"115,928","2,019",,,
    Others in Middle East,Total,"247,410","2,019",,,
    Others in Middle East,First visit,"67,081","2,019",,,
    Others in Middle East,Re-visit,"180,329","2,019",,,
    South Africa,Total,"89,750","2,019",,,
    South Africa,First visit,"43,668","2,019",,,
    South Africa,Re-visit,"46,082","2,019",,,
    Others in Africa,Total,"107,069","2,019",,,
    Others in Africa,First visit,"35,122","2,019",,,
    Others in Africa,Re-visit,"71,947","2,019",,,
        Brunai,Total,"2,444","2,020",,,
        Brunai,First visit,416,"2,020",,,
        Brunai,Re-visit,"2,028","2,020",,,
        Cambodia,Total,"164,270","2,020",,,
        Cambodia,First visit,"13,175","2,020",,,
        Cambodia,Re-visit,"151,095","2,020",,,
        Indonesia,Total,"96,993","2,020",,,
        Indonesia,First visit,"33,419","2,020",,,
        Indonesia,Re-visit,"63,574","2,020",,,
        Laos,Total,"382,246","2,020",,,
        Laos,First visit,"14,521","2,020",,,
        Laos,Re-visit,"367,725","2,020",,,
        Malaysia,Total,"612,922","2,020",,,
        Malaysia,First visit,"164,374","2,020",,,
        Malaysia,Re-visit,"448,548","2,020",,,
        Myanmar,Total,"54,941","2,020",,,
        Myanmar,First visit,"7,155","2,020",,,
        Myanmar,Re-visit,"47,786","2,020",,,
        Philippines,Total,"68,359","2,020",,,
        Philippines,First visit,"22,720","2,020",,,
        Philippines,Re-visit,"45,639","2,020",,,
        Singapore,Total,"132,511","2,020",,,
        Singapore,First visit,"8,829","2,020",,,
        Singapore,Re-visit,"123,682","2,020",,,
        Vietnam,Total,"131,308","2,020",,,
        Vietnam,First visit,"35,654","2,020",,,
        Vietnam,Re-visit,"95,654","2,020",,,
    China,Total,"1,302,137","2,020",,,
    China,First visit,"597,834","2,020",,,
    China,Re-visit,"704,303","2,020",,,
    Hong Kong,Total,"131,988","2,020",,,
    Hong Kong,First visit,"13,072","2,020",,,
    Hong Kong,Re-visit,"118,916","2,020",,,
    Japan,Total,"314,044","2,020",,,
    Japan,First visit,"68,280","2,020",,,
    Japan,Re-visit,"245,764","2,020",,,
    Korea,Total,"262,313","2,020",,,
    Korea,First visit,"96,148","2,020",,,
    Korea,Re-visit,"166,165","2,020",,,
    Taiwan,Total,"114,275","2,020",,,
    Taiwan,First visit,"34,485","2,020",,,
    Taiwan,Re-visit,"79,790","2,020",,,
    Others in East,Total,"15,299","2,020",,,
    Others in East,First visit,"3,485","2,020",,,
    Others in East,Re-visit,"11,814","2,020",,,
    Austria,Total,"34,599","2,020",,,
    Austria,First visit,"9,558","2,020",,,
    Austria,Re-visit,"25,041","2,020",,,
    Belgium,Total,"25,872","2,020",,,
    Belgium,First visit,"7,203","2,020",,,
    Belgium,Re-visit,"18,669","2,020",,,
    Denmark,Total,"62,962","2,020",,,
    Denmark,First visit,"14,789","2,020",,,
    Denmark,Re-visit,"48,173","2,020",,,
    Finland,Total,"57,927","2,020",,,
    Finland,First visit,"11,029","2,020",,,
    Finland,Re-visit,"46,898","2,020",,,
    France,Total,"231,614","2,020",,,
    France,First visit,"83,802","2,020",,,
    France,Re-visit,"147,812","2,020",,,
    Germany,Total,"231,260","2,020",,,
    Germany,First visit,"71,441","2,020",,,
    Germany,Re-visit,"159,819","2,020",,,
    Ireland,Total,"9,714","2,020",,,
    Ireland,First visit,"3,059","2,020",,,
    Ireland,Re-visit,"6,655","2,020",,,
    Italy,Total,"58,327","2,020",,,
    Italy,First visit,"19,836","2,020",,,
    Italy,Re-visit,"38,491","2,020",,,
    Netherlands,Total,"50,441","2,020",,,
    Netherlands,First visit,"13,876","2,020",,,
    Netherlands,Re-visit,"36,565","2,020",,,
    Norway,Total,"39,082","2,020",,,
    Norway,First visit,"8,158","2,020",,,
    Norway,Re-visit,"30,924","2,020",,,
    Russian,Total,"586,381","2,020",,,
    Russian,First visit,"167,933","2,020",,,
    Russian,Re-visit,"418,448","2,020",,,
    Spain,Total,"26,499","2,020",,,
    Spain,First visit,"10,564","2,020",,,
    Spain,Re-visit,"15,935","2,020",,,
    Sweden,Total,"108,921","2,020",,,
    Sweden,First visit,"19,717","2,020",,,
    Sweden,Re-visit,"89,204","2,020",,,
    Switzerland,Total,"54,006","2,020",,,
    Switzerland,First visit,"10,925","2,020",,,
    Switzerland,Re-visit,"43,081","2,020",,,
    United Kingdom,Total,"215,861","2,020",,,
    United Kingdom,First visit,"55,725","2,020",,,
    United Kingdom,Re-visit,"160,136","2,020",,,
    East Europe,Total,"211,106","2,020",,,
    East Europe,First visit,"86,696","2,020",,,
    East Europe,Re-visit,"124,410","2,020",,,
    Others in Europe,Total,"47,166","2,020",,,
    Others in Europe,First visit,"18,864","2,020",,,
    Others in Europe,Re-visit,"28,302","2,020",,,
    Argentina,Total,"12,461","2,020",,,
    Argentina,First visit,"4,604","2,020",,,
    Argentina,Re-visit,"7,857","2,020",,,
    Brazil,Total,"18,200","2,020",,,
    Brazil,First visit,"7,205","2,020",,,
    Brazil,Re-visit,"10,995","2,020",,,
    Canada,Total,"55,984","2,020",,,
    Canada,First visit,"18,064","2,020",,,
    Canada,Re-visit,"37,920","2,020",,,
USA,Total,"208,608","2,020",,,
USA,First visit,"69,716","2,020",,,
USA,Re-visit,"138,892","2,020",,,
    Others in America,Total,"15,997","2,020",,,
    Others in America,First visit,"6,905","2,020",,,
    Others in America,Re-visit,"9,092","2,020",,,
    Bangladesh,Total,"22,913","2,020",,,
    Bangladesh,First visit,"5,866","2,020",,,
    Bangladesh,Re-visit,"17,047","2,020",,,
    India,Total,"265,223","2,020",,,
    India,First visit,"104,702","2,020",,,
    India,Re-visit,"160,521","2,020",,,
    Nepal,Total,"10,396","2,020",,,
    Nepal,First visit,"3,621","2,020",,,
    Nepal,Re-visit,"6,775","2,020",,,
    Pakistan,Total,"11,519","2,020",,,
    Pakistan,First visit,"3,044","2,020",,,
    Pakistan,Re-visit,"8,475","2,020",,,
    Sri Lanka,Total,"8,375","2,020",,,
    Sri Lanka,First visit,"1,913","2,020",,,
    Sri Lanka,Re-visit,"6,462","2,020",,,
    Others in Asia,Total,"8,462","2,020",,,
    Others in Asia,First visit,"1,345","2,020",,,
    Others in Asia,Re-visit,"7,117","2,020",,,
    Australia,Total,"123,743","2,020",,,
    Australia,First visit,"30,931","2,020",,,
    Australia,Re-visit,"92,812","2,020",,,
    New Zealand,Total,"13,773","2,020",,,
    New Zealand,First visit,"3,756","2,020",,,
    New Zealand,Re-visit,"10,017","2,020",,,
    Others in Oceania,Total,"1,458","2,020",,,
    Others in Oceania,First visit,370,"2,020",,,
    Others in Oceania,Re-visit,"1,088","2,020",,,
    Egypt,Total,"3,084","2,020",,,
    Egypt,First visit,"1,222","2,020",,,
    Egypt,Re-visit,"1,862","2,020",,,
    Israel,Total,"29,568","2,020",,,
    Israel,First visit,"8,104","2,020",,,
    Israel,Re-visit,"21,464","2,020",,,
    Kuwait,Total,"11,149","2,020",,,
    Kuwait,First visit,"2,392","2,020",,,
    Kuwait,Re-visit,"8,757","2,020",,,
    Saudi Arabia,Total,"6,372","2,020",,,
    Saudi Arabia,First visit,"2,383","2,020",,,
    Saudi Arabia,Re-visit,"3,989","2,020",,,
    United Arab Emirates,Total,"9,550","2,020",,,
    United Arab Emirates,First visit,"1,688","2,020",,,
    United Arab Emirates,Re-visit,"7,862","2,020",,,
    Others in Middle East,Total,"25,507","2,020",,,
    Others in Middle East,First visit,"6,168","2,020",,,
    Others in Middle East,Re-visit,"19,339","2,020",,,
    South Africa,Total,"9,692","2,020",,,
    South Africa,First visit,"3,472","2,020",,,
    South Africa,Re-visit,"6,220","2,020",,,
    Others in Africa,Total,"15,371","2,020",,,
    Others in Africa,First visit,"4,034","2,020",,,
    Others in Africa,Re-visit,"11,337","2,020",,,